from,to,flightType,price,distance,agency
Recife (PE),Florianopolis (SC),firstClass,1434.38,676.53,FlyingDrops
Florianopolis (SC),Recife (PE),firstClass,1292.29,676.53,FlyingDrops
Brasilia (DF),Florianopolis (SC),firstClass,1487.52,637.56,CloudFy
Florianopolis (SC),Brasilia (DF),firstClass,1127.36,637.56,CloudFy
Aracaju (SE),Salvador (BH),firstClass,1684.05,830.86,CloudFy
Salvador (BH),Aracaju (SE),firstClass,1531.92,830.86,CloudFy
Aracaju (SE),Campo Grande (MS),economic,743.54,650.1,Rainbow
Campo Grande (MS),Aracaju (SE),economic,877.56,650.1,Rainbow
Recife (PE),Florianopolis (SC),economic,803.39,676.53,Rainbow
Florianopolis (SC),Recife (PE),economic,695.3,676.53,Rainbow
Brasilia (DF),Aracaju (SE),firstClass,1287.52,425.98,FlyingDrops
Aracaju (SE),Brasilia (DF),firstClass,898.04,425.98,FlyingDrops
Recife (PE),Florianopolis (SC),premium,1070.54,676.53,Rainbow
Florianopolis (SC),Recife (PE),premium,1013.4,676.53,Rainbow
Aracaju (SE),Salvador (BH),economic,964.83,830.86,CloudFy
Salvador (BH),Aracaju (SE),economic,811.73,830.86,CloudFy
Recife (PE),Sao Paulo (SP),economic,513.06,486.52,CloudFy
Sao Paulo (SP),Recife (PE),economic,829.91,486.52,CloudFy
Brasilia (DF),Campo Grande (MS),economic,583.6,277.7,CloudFy
Campo Grande (MS),Brasilia (DF),economic,506.56,277.7,CloudFy
Brasilia (DF),Sao Paulo (SP),firstClass,992.17,257.81,Rainbow
Sao Paulo (SP),Brasilia (DF),firstClass,824.31,257.81,Rainbow
Brasilia (DF),Salvador (BH),premium,1268.97,676.56,Rainbow
Salvador (BH),Brasilia (DF),premium,882.86,676.56,Rainbow
Brasilia (DF),Aracaju (SE),premium,965.62,425.98,Rainbow
Aracaju (SE),Brasilia (DF),premium,706.36,425.98,Rainbow
Recife (PE),Florianopolis (SC),firstClass,1434.38,676.53,FlyingDrops
Florianopolis (SC),Recife (PE),firstClass,1292.29,676.53,FlyingDrops
Brasilia (DF),Sao Paulo (SP),firstClass,893.65,257.81,CloudFy
Sao Paulo (SP),Brasilia (DF),firstClass,742.94,257.81,CloudFy
Recife (PE),Natal (RN),premium,474.6,222.67,CloudFy
Natal (RN),Recife (PE),premium,563.23,222.67,CloudFy
Aracaju (SE),Campo Grande (MS),premium,1021.53,650.1,CloudFy
Campo Grande (MS),Aracaju (SE),premium,1215.45,650.1,CloudFy
Recife (PE),Natal (RN),economic,301.51,222.67,CloudFy
Natal (RN),Recife (PE),economic,429.77,222.67,CloudFy
Brasilia (DF),Natal (RN),economic,791.66,550.69,CloudFy
Natal (RN),Brasilia (DF),economic,697.51,550.69,CloudFy
Recife (PE),Salvador (BH),firstClass,1596.61,788.55,FlyingDrops
Salvador (BH),Recife (PE),firstClass,1348.04,788.55,FlyingDrops
Recife (PE),Campo Grande (MS),firstClass,1069.12,535.4,Rainbow
Campo Grande (MS),Recife (PE),firstClass,1185.95,535.4,Rainbow
Recife (PE),Salvador (BH),firstClass,1596.61,788.55,FlyingDrops
Salvador (BH),Recife (PE),firstClass,1348.04,788.55,FlyingDrops
Brasilia (DF),Aracaju (SE),firstClass,1214.82,425.98,Rainbow
Aracaju (SE),Brasilia (DF),firstClass,959.29,425.98,Rainbow
Brasilia (DF),Recife (PE),premium,568.38,242.21,CloudFy
Recife (PE),Brasilia (DF),premium,573.61,242.21,CloudFy
Brasilia (DF),Florianopolis (SC),firstClass,1576.97,637.56,Rainbow
Florianopolis (SC),Brasilia (DF),firstClass,1087.18,637.56,Rainbow
Aracaju (SE),Sao Paulo (SP),economic,446.73,392.76,Rainbow
Sao Paulo (SP),Aracaju (SE),economic,647.9,392.76,Rainbow
Recife (PE),Salvador (BH),premium,1242.65,788.55,CloudFy
Salvador (BH),Recife (PE),premium,1016.53,788.55,CloudFy
Aracaju (SE),Brasilia (DF),firstClass,898.04,425.98,FlyingDrops
Brasilia (DF),Aracaju (SE),firstClass,1287.52,425.98,FlyingDrops
Aracaju (SE),Natal (RN),premium,427.25,176.33,Rainbow
Natal (RN),Aracaju (SE),premium,479.37,176.33,Rainbow
Aracaju (SE),Recife (PE),economic,604.14,555.74,CloudFy
Recife (PE),Aracaju (SE),economic,684.88,555.74,CloudFy
Aracaju (SE),Campo Grande (MS),economic,743.54,650.1,Rainbow
Campo Grande (MS),Aracaju (SE),economic,877.56,650.1,Rainbow
Aracaju (SE),Rio de Janeiro (RJ),firstClass,1190.94,597.61,FlyingDrops
Rio de Janeiro (RJ),Aracaju (SE),firstClass,1381.55,597.61,FlyingDrops
Brasilia (DF),Sao Paulo (SP),firstClass,893.65,257.81,CloudFy
Sao Paulo (SP),Brasilia (DF),firstClass,742.94,257.81,CloudFy
Brasilia (DF),Salvador (BH),premium,1346.6,676.56,CloudFy
Salvador (BH),Brasilia (DF),premium,836.89,676.56,CloudFy
Aracaju (SE),Sao Paulo (SP),premium,630.34,392.76,CloudFy
Sao Paulo (SP),Aracaju (SE),premium,906.59,392.76,CloudFy
Recife (PE),Florianopolis (SC),firstClass,1434.38,676.53,FlyingDrops
Florianopolis (SC),Recife (PE),firstClass,1292.29,676.53,FlyingDrops
Recife (PE),Aracaju (SE),firstClass,1181.19,555.74,Rainbow
Aracaju (SE),Recife (PE),firstClass,1119.47,555.74,Rainbow
Aracaju (SE),Florianopolis (SC),firstClass,1499.93,808.85,FlyingDrops
Florianopolis (SC),Aracaju (SE),firstClass,1574.28,808.85,FlyingDrops
Brasilia (DF),Natal (RN),firstClass,1433.35,550.69,FlyingDrops
Natal (RN),Brasilia (DF),firstClass,1192.62,550.69,FlyingDrops
Brasilia (DF),Salvador (BH),economic,958.15,676.56,CloudFy
Salvador (BH),Brasilia (DF),economic,587.85,676.56,CloudFy
Brasilia (DF),Rio de Janeiro (RJ),economic,371.04,183.37,Rainbow
Rio de Janeiro (RJ),Brasilia (DF),economic,364.34,183.37,Rainbow
Recife (PE),Rio de Janeiro (RJ),firstClass,1706.89,885.57,FlyingDrops
Rio de Janeiro (RJ),Recife (PE),firstClass,1702.23,885.57,FlyingDrops
Recife (PE),Campo Grande (MS),premium,832.77,535.4,Rainbow
Campo Grande (MS),Recife (PE),premium,991.22,535.4,Rainbow
Recife (PE),Salvador (BH),firstClass,1484.94,788.55,CloudFy
Salvador (BH),Recife (PE),firstClass,1440.02,788.55,CloudFy
Recife (PE),Florianopolis (SC),economic,803.39,676.53,Rainbow
Florianopolis (SC),Recife (PE),economic,695.3,676.53,Rainbow
Recife (PE),Natal (RN),premium,474.6,222.67,CloudFy
Natal (RN),Recife (PE),premium,563.23,222.67,CloudFy
Aracaju (SE),Rio de Janeiro (RJ),firstClass,1183.57,597.61,CloudFy
Rio de Janeiro (RJ),Aracaju (SE),firstClass,1446.4,597.61,CloudFy
Brasilia (DF),Sao Paulo (SP),economic,533.8,257.81,Rainbow
Sao Paulo (SP),Brasilia (DF),economic,393.84,257.81,Rainbow
Brasilia (DF),Florianopolis (SC),economic,884.94,637.56,CloudFy
Florianopolis (SC),Brasilia (DF),economic,636.51,637.56,CloudFy
Brasilia (DF),Rio de Janeiro (RJ),premium,440.69,183.37,Rainbow
Rio de Janeiro (RJ),Brasilia (DF),premium,435.67,183.37,Rainbow
Aracaju (SE),Rio de Janeiro (RJ),premium,930.12,597.61,Rainbow
Rio de Janeiro (RJ),Aracaju (SE),premium,1098.93,597.61,Rainbow
Recife (PE),Salvador (BH),premium,1242.65,788.55,CloudFy
Salvador (BH),Recife (PE),premium,1016.53,788.55,CloudFy
Brasilia (DF),Florianopolis (SC),economic,889.07,637.56,Rainbow
Florianopolis (SC),Brasilia (DF),economic,555.01,637.56,Rainbow
Brasilia (DF),Campo Grande (MS),premium,831.7,277.7,CloudFy
Campo Grande (MS),Brasilia (DF),premium,661.32,277.7,CloudFy
Aracaju (SE),Sao Paulo (SP),firstClass,730.43,392.76,CloudFy
Sao Paulo (SP),Aracaju (SE),firstClass,1186.15,392.76,CloudFy
Recife (PE),Florianopolis (SC),firstClass,1371.83,676.53,Rainbow
Florianopolis (SC),Recife (PE),firstClass,1175.62,676.53,Rainbow
Aracaju (SE),Brasilia (DF),firstClass,959.29,425.98,Rainbow
Brasilia (DF),Aracaju (SE),firstClass,1214.82,425.98,Rainbow
Recife (PE),Aracaju (SE),premium,932.84,555.74,CloudFy
Aracaju (SE),Recife (PE),premium,835.21,555.74,CloudFy
Brasilia (DF),Sao Paulo (SP),premium,698.1,257.81,CloudFy
Sao Paulo (SP),Brasilia (DF),premium,602.12,257.81,CloudFy
Aracaju (SE),Salvador (BH),firstClass,1684.05,830.86,CloudFy
Salvador (BH),Aracaju (SE),firstClass,1531.92,830.86,CloudFy
Brasilia (DF),Aracaju (SE),firstClass,1214.82,425.98,Rainbow
Aracaju (SE),Brasilia (DF),firstClass,959.29,425.98,Rainbow
Aracaju (SE),Natal (RN),economic,332.1,176.33,CloudFy
Natal (RN),Aracaju (SE),economic,361.68,176.33,CloudFy
Aracaju (SE),Salvador (BH),firstClass,1684.05,830.86,CloudFy
Salvador (BH),Aracaju (SE),firstClass,1531.92,830.86,CloudFy
Brasilia (DF),Natal (RN),firstClass,1434.91,550.69,Rainbow
Natal (RN),Brasilia (DF),firstClass,1286.63,550.69,Rainbow
Recife (PE),Salvador (BH),firstClass,1484.94,788.55,CloudFy
Salvador (BH),Recife (PE),firstClass,1440.02,788.55,CloudFy
Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,597.61,CloudFy
Rio de Janeiro (RJ),Aracaju (SE),economic,796.42,597.61,CloudFy
Recife (PE),Rio de Janeiro (RJ),firstClass,1706.89,885.57,FlyingDrops
Rio de Janeiro (RJ),Recife (PE),firstClass,1702.23,885.57,FlyingDrops
Recife (PE),Aracaju (SE),economic,663.23,555.74,Rainbow
Aracaju (SE),Recife (PE),economic,602.49,555.74,Rainbow
Recife (PE),Salvador (BH),firstClass,1470.41,788.55,Rainbow
Salvador (BH),Recife (PE),firstClass,1440.25,788.55,Rainbow
Recife (PE),Sao Paulo (SP),premium,670.13,486.52,Rainbow
Sao Paulo (SP),Recife (PE),premium,1145.72,486.52,Rainbow
Aracaju (SE),Sao Paulo (SP),firstClass,756.3,392.76,FlyingDrops
Sao Paulo (SP),Aracaju (SE),firstClass,1269.73,392.76,FlyingDrops
Brasilia (DF),Salvador (BH),firstClass,1724.49,676.56,FlyingDrops
Salvador (BH),Brasilia (DF),firstClass,1020.08,676.56,FlyingDrops
Aracaju (SE),Recife (PE),firstClass,1119.47,555.74,Rainbow
Recife (PE),Aracaju (SE),firstClass,1181.19,555.74,Rainbow
Aracaju (SE),Brasilia (DF),firstClass,898.04,425.98,FlyingDrops
Brasilia (DF),Aracaju (SE),firstClass,1287.52,425.98,FlyingDrops
Recife (PE),Salvador (BH),premium,1242.65,788.55,CloudFy
Salvador (BH),Recife (PE),premium,1016.53,788.55,CloudFy
Brasilia (DF),Campo Grande (MS),premium,831.7,277.7,CloudFy
Campo Grande (MS),Brasilia (DF),premium,661.32,277.7,CloudFy
Recife (PE),Sao Paulo (SP),economic,513.06,486.52,CloudFy
Sao Paulo (SP),Recife (PE),economic,829.91,486.52,CloudFy
Brasilia (DF),Natal (RN),firstClass,1313.76,550.69,CloudFy
Natal (RN),Brasilia (DF),firstClass,1300.53,550.69,CloudFy
Brasilia (DF),Natal (RN),firstClass,1313.76,550.69,CloudFy
Natal (RN),Brasilia (DF),firstClass,1300.53,550.69,CloudFy
Recife (PE),Natal (RN),firstClass,669.83,222.67,CloudFy
Natal (RN),Recife (PE),firstClass,744.11,222.67,CloudFy
Recife (PE),Natal (RN),premium,474.6,222.67,CloudFy
Natal (RN),Recife (PE),premium,563.23,222.67,CloudFy
Brasilia (DF),Natal (RN),economic,726.19,550.69,Rainbow
Natal (RN),Brasilia (DF),economic,686.79,550.69,Rainbow
Aracaju (SE),Sao Paulo (SP),firstClass,756.3,392.76,FlyingDrops
Sao Paulo (SP),Aracaju (SE),firstClass,1269.73,392.76,FlyingDrops
Brasilia (DF),Salvador (BH),firstClass,1665.24,676.56,Rainbow
Salvador (BH),Brasilia (DF),firstClass,1040.84,676.56,Rainbow
Brasilia (DF),Salvador (BH),firstClass,1665.24,676.56,Rainbow
Salvador (BH),Brasilia (DF),firstClass,1040.84,676.56,Rainbow
Recife (PE),Brasilia (DF),firstClass,721.93,242.21,Rainbow
Brasilia (DF),Recife (PE),firstClass,772.21,242.21,Rainbow
Aracaju (SE),Sao Paulo (SP),premium,588.14,392.76,Rainbow
Sao Paulo (SP),Aracaju (SE),premium,962.54,392.76,Rainbow
Brasilia (DF),Recife (PE),firstClass,804.24,242.21,CloudFy
Recife (PE),Brasilia (DF),firstClass,709.25,242.21,CloudFy
Aracaju (SE),Sao Paulo (SP),economic,446.73,392.76,Rainbow
Sao Paulo (SP),Aracaju (SE),economic,647.9,392.76,Rainbow
Recife (PE),Aracaju (SE),premium,932.84,555.74,CloudFy
Aracaju (SE),Recife (PE),premium,835.21,555.74,CloudFy
Aracaju (SE),Sao Paulo (SP),premium,630.34,392.76,CloudFy
Sao Paulo (SP),Aracaju (SE),premium,906.59,392.76,CloudFy
Aracaju (SE),Salvador (BH),economic,964.83,830.86,CloudFy
Salvador (BH),Aracaju (SE),economic,811.73,830.86,CloudFy
Recife (PE),Brasilia (DF),premium,638.63,242.21,Rainbow
Brasilia (DF),Recife (PE),premium,559.13,242.21,Rainbow
